abs_path,true_label,pred_label,plane,prob_0,prob_1,prob_2,prob_3,max_prob,correct,has_mask,dice,iou,sensitivity,specificity,precision_seg,hd95,gt_area,pred_area,fn_mask
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00561_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019390406,0.020655425,0.01972221,0.9402319,0.9402319192886353,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00562_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020065272,0.020734278,0.019712472,0.93948793,0.9394879341125488,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00563_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019416418,0.020791207,0.01941659,0.9403758,0.940375804901123,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00564_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.01900535,0.020424874,0.020001099,0.94056875,0.940568745136261,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00565_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019868383,0.020797096,0.019976255,0.93935823,0.9393582344055176,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00566_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019779578,0.020853342,0.019734574,0.93963253,0.9396325349807739,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00567_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019559097,0.020462576,0.019945867,0.9400324,0.940032422542572,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00568_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.01984093,0.021385139,0.02007586,0.9386981,0.9386981129646301,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00569_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019499002,0.020481236,0.020131161,0.93988866,0.9398886561393738,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00570_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019549115,0.020893993,0.020230642,0.9393262,0.9393262267112732,True,True,1.0,1.0,0.0,0.9999999999998007,0.0,0.0,0.0,0.0,False
