patient_id,path,dice,iou,sensitivity,specificity,precision,hd95,is_empty,pred_area,gt_area,hallucinated
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00001.jpg,1.0,1.0,1.0,1.0,1.0,,True,0.0,0.0,False
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00002.jpg,1.886792411198712e-08,1.886792411198712e-08,1.0,0.9989437460899352,1.886792411198712e-08,,True,53.0,0.0,True
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00003.jpg,1.0,1.0,1.0,1.0,1.0,,True,0.0,0.0,False
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00004.jpg,1.0,1.0,1.0,1.0,1.0,,True,0.0,0.0,False
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00005.jpg,1.0,1.0,1.0,1.0,1.0,,True,0.0,0.0,False
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00006.jpg,1.0,1.0,1.0,1.0,1.0,,True,0.0,0.0,False
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00007.jpg,3.289473582412938e-09,3.289473582412938e-09,1.0,0.9939413070678712,3.289473582412938e-09,,True,304.0,0.0,True
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00008.jpg,5.434782401891881e-09,5.434782401891881e-09,1.0,0.9963328838348388,5.434782401891881e-09,,True,184.0,0.0,True
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00009.jpg,1.0,1.0,1.0,1.0,1.0,,True,0.0,0.0,False
Patient#1,D:\Research\Multi-View Fusion Network\datasets\AJBDS-2023_extracted\AJBDS-2023\Training\Patient#1\Patient#1\input\IMG-0001-00010.jpg,1.0,1.0,1.0,1.0,1.0,,True,0.0,0.0,False
