Metric,Seed 42,Seed 43,Seed 44,Mean,Std (ddof=1),Min,Max,95% CI (n=3)
Accuracy,0.9930,0.9940,0.9920,0.9930,0.0010,0.9920,0.9940,±0.0025
Macro F1,0.9939,0.9948,0.9926,0.9938,0.0011,0.9926,0.9948,±0.0027
AUC (macro OvR),0.9991,0.9994,0.9994,0.9993,0.0002,0.9991,0.9994,±0.0004
Brier Score,0.0200,0.0193,0.0219,0.0204,0.0014,0.0193,0.0219,±0.0035
ECE,0.0740,0.0727,0.0716,0.0727,0.0012,0.0716,0.0740,±0.0030
Dice,0.8820,0.8793,0.8767,0.8793,0.0026,0.8767,0.8820,±0.0065
IoU,0.8177,0.8153,0.8125,0.8152,0.0026,0.8125,0.8177,±0.0064
Sensitivity (seg),0.7612,0.7527,0.7513,0.7551,0.0053,0.7513,0.7612,±0.0132
Specificity (seg),0.9984,0.9986,0.9986,0.9986,0.0001,0.9984,0.9986,±0.0003
Precision (seg),0.7446,0.7473,0.7438,0.7452,0.0018,0.7438,0.7473,±0.0046
HD95 (px),3.3152,3.4169,3.5982,3.4434,0.1433,3.3152,3.5982,±0.3561
