image_path,true_label,pred_label,plane,prob_0,prob_1,prob_2,prob_3,max_prob,correct,has_mask,dice,iou,gt_area,pred_area
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00561_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019607835,0.024605745,0.02294628,0.93284017,0.93284017,True,False,0.0,0.0,0.0,289.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00562_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019272989,0.023590706,0.022598514,0.9345378,0.9345378,True,False,0.0,0.0,0.0,3.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00563_no_ax_t1.jpg,no_tumor,meningioma,axial,0.032904662,0.45334852,0.070034325,0.4437125,0.45334852,False,False,0.0,0.0,0.0,1643.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00564_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020221876,0.026220212,0.023377746,0.93018013,0.93018013,True,False,0.0,0.0,0.0,10.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00565_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020167656,0.021552384,0.021032574,0.9372474,0.9372474,True,False,0.0,0.0,0.0,3223.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00566_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019523045,0.021275008,0.020822803,0.93837917,0.93837917,True,False,0.0,0.0,0.0,406.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00567_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019770555,0.022457736,0.021314532,0.9364573,0.9364573,True,False,0.0,0.0,0.0,164.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00568_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.0202104,0.02181001,0.021036023,0.93694353,0.93694353,True,False,0.0,0.0,0.0,2668.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00569_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020627284,0.021459457,0.021511912,0.9364014,0.9364014,True,False,0.0,0.0,0.0,10347.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00570_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.02064298,0.021350317,0.021350317,0.9366564,0.9366564,True,False,0.0,0.0,0.0,11287.0
