image_path,true_label,pred_label,plane,prob_0,prob_1,prob_2,prob_3,max_prob,correct,has_mask,dice,iou,gt_area,pred_area
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00561_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.0704607,0.09467645,0.12219183,0.71267104,0.71267104,True,True,0.0014684288,0.0014684288,0.0,680.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00562_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.083239384,0.117673285,0.25177404,0.5473133,0.5473133,True,True,0.002770083,0.002770083,0.0,360.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00563_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.047307193,0.07460659,0.11009999,0.7679862,0.7679862,True,True,0.00083194673,0.00083194673,0.0,1201.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00564_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.11507693,0.31913698,0.19864102,0.36714506,0.36714506,True,True,1.0,1.0,0.0,0.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00565_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.037006676,0.05876231,0.06770109,0.83652997,0.83652997,True,True,0.0006973501,0.0006973501,0.0,1433.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00566_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.047223646,0.077972755,0.09075967,0.7840439,0.7840439,True,True,0.002202643,0.002202643,0.0,453.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00567_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.036099114,0.062160842,0.11005876,0.7916813,0.7916813,True,True,0.00078554597,0.00078554597,0.0,1272.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00568_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.03742468,0.06359938,0.07501161,0.82396436,0.82396436,True,True,0.00096061477,0.00096061477,0.0,1040.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00569_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.03713568,0.066785924,0.052523356,0.84355503,0.84355503,True,True,0.0019305019,0.0019305019,0.0,517.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00570_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.035539646,0.058338035,0.04926968,0.85685265,0.85685265,True,True,1.0,1.0,0.0,0.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00571_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.03987465,0.07391593,0.059074964,0.8271345,0.8271345,True,True,0.00862069,0.00862069,0.0,115.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00572_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.041848574,0.055711716,0.046982743,0.855457,0.855457,True,True,1.0,1.0,0.0,0.0
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00573_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.047723886,0.08907293,0.059161782,0.8040414,0.8040414,True,True,0.0028735632,0.0028735632,0.0,347.0
